Month,TotalNumber,AverageAmount,MaleNumber,AverageMaleAmount,FemaleNumber,AverageFemaleAmount,
Feb-06,"185,647","$1,030.49 ","98,927","$1,211.07 ","86,720",$824.49 ,
Mar-06,"174,143","$1,013.01 ","92,616","$1,191.46 ","81,527",$810.29 ,
Apr-06,"169,490","$1,005.02 ","91,427","$1,178.73 ","78,063",$801.56 ,
May-06,"152,945",$997.17 ,"82,486","$1,169.54 ","70,459",$795.37 ,
Jun-06,"156,458","$1,005.45 ","83,906","$1,181.05 ","72,552",$802.37 ,
Jul-06,"134,512",$981.32 ,"68,460","$1,140.66 ","66,052",$816.18 ,
Aug-06,"125,283",$949.14 ,"64,439","$1,111.09 ","60,844",$777.61 ,
Sep-06,"151,025",$996.86 ,"79,889","$1,174.73 ","71,136",$797.12 ,
Oct-06,"150,897","$1,000.76 ","79,196","$1,176.19 ","71,701",$806.99 ,
Nov-06,"161,517","$1,002.15 ","83,083","$1,170.31 ","78,434",$824.01 ,
Dec-06,"125,062","$1,045.85 ","65,783","$1,232.40 ","59,279",$838.83 ,
Jan-07,"320,429","$1,182.81 ","174,824","$1,368.54 ","145,605",$959.82 ,
Feb-07,"183,319","$1,077.07 ","98,661","$1,259.36 ","84,658",$864.62 ,
Mar-07,"177,307","$1,061.38 ","94,723","$1,239.10 ","82,584",$857.54 ,
Apr-07,"172,014","$1,050.13 ","92,372","$1,227.49 ","79,642",$844.41 ,
May-07,"155,679","$1,047.08 ","83,776","$1,224.40 ","71,903",$840.49 ,
Jun-07,"168,804","$1,053.14 ","85,991","$1,228.84 ","82,813",$870.69 ,
Jul-07,"171,242","$1,063.94 ","87,759","$1,242.15 ","83,483",$876.60 ,
Aug-07,"158,476","$1,052.47 ","82,944","$1,238.44 ","75,532",$848.24 ,
Sep-07,"126,319",$993.76 ,"64,647","$1,161.98 ","61,672",$817.42 ,
Oct-07,"117,817",$974.89 ,"59,936","$1,142.08 ","57,881",$801.76 ,
Nov-07,"161,647","$1,035.00 ","83,598","$1,217.83 ","78,049",$839.17 ,
Dec-07,"137,495","$1,077.55 ","72,387","$1,266.33 ","65,108",$867.66 ,
Jan-08,"337,888","$1,211.52 ","182,622","$1,401.04 ","155,266",$988.60 ,
Feb-08,"196,971","$1,104.52 ","104,638","$1,291.42 ","92,333",$892.71 ,
Mar-08,"194,494","$1,080.95 ","102,860","$1,262.83 ","91,634",$876.79 ,
Apr-08,"176,292","$1,083.13 ","94,197","$1,266.16 ","82,095",$873.12 ,
May-08,"170,169","$1,082.60 ","90,616","$1,267.05 ","79,553",$872.51 ,
Jun-08,"184,105","$1,111.31 ","95,852","$1,292.49 ","88,253",$914.52 ,
Jul-08,"181,825","$1,124.24 ","94,714","$1,306.68 ","87,111",$925.88 ,
Aug-08,"187,179","$1,109.01 ","98,809","$1,293.19 ","88,370",$903.07 ,
Sep-08,"183,102","$1,102.76 ","96,618","$1,286.96 ","86,484",$896.99 ,
Oct-08,"187,710","$1,104.18 ","99,550","$1,286.93 ","88,160",$897.82 ,
Nov-08,"159,562","$1,024.03 ","82,383","$1,192.92 ","77,179",$843.75 ,
Dec-08,"129,542","$1,083.34 ","61,790","$1,256.16 ","67,752",$925.74 ,
Jan-09,"403,215","$1,275.38 ","214,424","$1,468.30 ","188,791","$1,056.26 ",
Feb-09,"239,417","$1,174.29 ","127,819","$1,361.29 ","111,598",$960.11 ,
Mar-09,"239,903","$1,162.60 ","128,100","$1,346.90 ","111,803",$951.44 ,
Apr-09,"216,688","$1,154.96 ","115,786","$1,340.19 ","100,902",$942.41 ,
May-09,"210,909","$1,157.22 ","112,896","$1,340.04 ","98,013",$946.63 ,
Jun-09,"218,924","$1,169.84 ","112,404","$1,351.41 ","106,520",$978.24 ,
Jul-09,"221,294","$1,178.63 ","115,889","$1,361.27 ","105,405",$977.83 ,
Aug-09,"219,597","$1,167.97 ","117,121","$1,352.13 ","102,476",$957.49 ,
Sep-09,"201,989","$1,166.13 ","107,014","$1,352.58 ","94,975",$956.05 ,
Oct-09,"198,766","$1,162.38 ","106,135","$1,341.41 ","92,631",$957.24 ,
Nov-09,"189,812","$1,154.77 ","101,403","$1,333.70 ","88,409",$949.54 ,
Dec-09,"180,403","$1,168.60 ","93,849","$1,339.93 ","86,554",$982.84 ,
Jan-10,"372,743","$1,266.28 ","199,108","$1,450.96 ","173,635","$1,054.50 ",
Feb-10,"221,820","$1,186.36 ","118,315","$1,366.42 ","103,505",$980.54 ,
Mar-10,"218,725","$1,171.49 ","116,258","$1,348.57 ","102,467",$970.56 ,
Apr-10,"208,191","$1,167.69 ","110,236","$1,347.80 ","97,955",$965.00 ,
May-10,"198,445","$1,169.63 ","105,686","$1,346.38 ","92,759",$968.24 ,
Jun-10,"207,671","$1,189.48 ","106,138","$1,360.84 ","101,533","$1,010.34 ",
Jul-10,"217,174","$1,208.53 ","111,663","$1,383.83 ","105,511","$1,023.02 ",
Aug-10,"215,496","$1,182.56 ","112,905","$1,361.89 ","102,591",$985.21 ,
Sep-10,"198,777","$1,181.96 ","103,934","$1,362.02 ","94,843",$984.64 ,
Oct-10,"201,338","$1,176.28 ","105,914","$1,352.68 ","95,424",$980.48 ,
Nov-10,"198,882","$1,166.64 ","105,557","$1,337.46 ","93,325",$973.43 ,
Dec-10,"176,068","$1,189.77 ","91,269","$1,357.36 ","84,799","$1,009.39 ",
Jan-11,"369,443","$1,272.95 ","194,603","$1,453.58 ","174,840","$1,071.90 ",
Feb-11,"218,828","$1,185.28 ","115,516","$1,360.33 ","103,312",$989.55 ,
Mar-11,"213,152","$1,180.85 ","112,390","$1,353.20 ","100,762",$988.61 ,
Apr-11,"208,159","$1,173.60 ","109,196","$1,348.51 ","98,963",$980.60 ,
May-11,"196,140","$1,182.25 ","103,633","$1,353.87 ","92,507",$989.99 ,
Jun-11,"203,885","$1,196.17 ","102,601","$1,362.44 ","101,284","$1,027.74 ",
Jul-11,"216,758","$1,204.72 ","109,711","$1,376.68 ","107,047","$1,028.48 ",
Aug-11,"210,561","$1,187.95 ","108,471","$1,363.60 ","102,090","$1,001.33 ",
Sep-11,"198,391","$1,187.99 ","102,307","$1,365.20 ","96,084",$999.31 ,
Oct-11,"197,637","$1,182.39 ","102,801","$1,355.69 ","94,836",$994.53 ,
Nov-11,"192,873","$1,165.26 ","100,773","$1,331.49 ","92,100",$983.37 ,
Dec-11,"172,240","$1,231.96 ","88,678","$1,407.89 ","83,562","$1,045.26 ",
Jan-12,"363,402","$1,326.17 ","188,031","$1,511.84 ","175,371","$1,127.11 ",
Feb-12,"220,952","$1,236.78 ","114,863","$1,417.46 ","106,089","$1,041.16 ",
Mar-12,"213,375","$1,233.67 ","111,410","$1,412.22 ","101,965","$1,038.58 ",
Apr-12,"207,998","$1,232.00 ","108,283","$1,412.84 ","99,715","$1,035.63 ",
May-12,"194,571","$1,243.65 ","101,732","$1,425.06 ","92,839","$1,044.87 ",
Jun-12,"219,157","$1,253.17 ","110,130","$1,428.67 ","109,027","$1,075.91 ",
Jul-12,"230,845","$1,267.84 ","117,637","$1,450.15 ","113,208","$1,078.40 ",
Aug-12,"219,631","$1,264.05 ","113,749","$1,448.12 ","105,882","$1,066.30 ",
Sep-12,"228,014","$1,270.17 ","118,467","$1,455.81 ","109,547","$1,069.41 ",
Oct-12,"217,116","$1,271.63 ","113,881","$1,455.79 ","103,235","$1,068.49 ",
Nov-12,"207,373","$1,267.52 ","108,644","$1,450.05 ","98,729","$1,066.65 ",
Dec-12,"221,676","$1,309.58 ","116,669","$1,489.56 ","105,007","$1,109.60 ",
Jan-13,"397,293","$1,380.96 ","209,582","$1,566.48 ","187,711","$1,173.83 ",
Feb-13,"239,112","$1,302.67 ","125,499","$1,484.17 ","113,613","$1,102.18 ",
Mar-13,"235,148","$1,299.28 ","123,599","$1,481.48 ","111,549","$1,097.38 ",
Apr-13,"228,792","$1,289.42 ","119,688","$1,472.17 ","109,104","$1,088.95 ",
May-13,"213,303","$1,295.83 ","111,027","$1,474.93 ","102,276","$1,101.41 ",
Jun-13,"234,515","$1,308.18 ","115,788","$1,479.26 ","118,727","$1,141.34 ",
Jul-13,"229,149","$1,314.04 ","116,227","$1,494.57 ","112,922","$1,128.22 ",
Aug-13,"220,540","$1,300.38 ","113,456","$1,482.59 ","107,084","$1,107.33 ",
Sep-13,"217,792","$1,299.57 ","112,362","$1,483.05 ","105,430","$1,104.02 ",
Oct-13,"195,661","$1,294.33 ","101,020","$1,477.06 ","94,641","$1,099.28 ",
Nov-13,"204,368","$1,282.39 ","106,539","$1,457.80 ","97,829","$1,091.36 ",
Dec-13,"188,826","$1,320.58 ","97,903","$1,496.76 ","90,923","$1,130.87 ",
Jan-14,"354,237","$1,405.55 ","184,804","$1,587.50 ","169,433","$1,207.09 ",
Feb-14,"228,474","$1,333.98 ","119,848","$1,513.21 ","108,626","$1,136.23 ",
Mar-14,"234,620","$1,323.91 ","122,602","$1,506.24 ","112,018","$1,124.35 ",
Apr-14,"235,658","$1,312.66 ","122,677","$1,493.26 ","112,981","$1,116.57 ",
May-14,"215,145","$1,321.13 ","111,703","$1,499.14 ","103,442","$1,128.92 ",
Jun-14,"223,201","$1,325.98 ","113,096","$1,497.44 ","110,105","$1,149.87 ",
Jul-14,"227,843","$1,338.16 ","115,542","$1,511.73 ","112,301","$1,159.58 ",
Aug-14,"226,388","$1,329.72 ","116,544","$1,507.21 ","109,844","$1,141.40 ",
Sep-14,"231,673","$1,323.13 ","119,095","$1,503.89 ","112,578","$1,131.91 ",
Oct-14,"211,727","$1,322.24 ","109,744","$1,504.27 ","101,983","$1,126.36 ",
Nov-14,"195,336","$1,320.00 ","100,805","$1,500.54 ","94,531","$1,127.47 ",
Dec-14,"196,920","$1,367.58 ","101,201","$1,554.13 ","95,719","$1,170.35 ",
Jan-15,"363,494","$1,429.70 ","188,115","$1,613.52 ","175,379","$1,232.54 ",
Feb-15,"232,278","$1,363.53 ","120,364","$1,548.90 ","111,914","$1,164.17 ",
Mar-15,"237,913","$1,365.92 ","124,461","$1,551.68 ","113,452","$1,162.13 ",
Apr-15,"239,895","$1,357.39 ","126,107","$1,541.41 ","113,788","$1,153.45 ",
May-15,"222,543","$1,361.04 ","116,674","$1,540.32 ","105,869","$1,163.46 ",
Jun-15,"228,513","$1,365.50 ","116,214","$1,542.17 ","112,299","$1,182.67 ",
Jul-15,"238,543","$1,374.83 ","122,213","$1,554.42 ","116,330","$1,186.16 ",
Aug-15,"240,394","$1,361.91 ","124,521","$1,544.50 ","115,873","$1,165.70 ",
Sep-15,"222,483","$1,358.41 ","115,889","$1,540.03 ","106,594","$1,160.95 ",
Oct-15,"218,274","$1,356.72 ","114,114","$1,538.75 ","104,160","$1,157.30 ",
Nov-15,"200,220","$1,363.23 ","104,712","$1,547.03 ","95,508","$1,161.71 ",
Dec-15,"204,067","$1,396.01 ","107,071","$1,585.29 ","96,996","$1,187.08 ",
Jan-16,"369,797","$1,448.23 ","196,025","$1,631.17 ","173,772","$1,241.86 ",
Feb-16,"242,791","$1,402.63 ","129,500","$1,595.86 ","113,291","$1,181.76 ",
Mar-16,"229,243","$1,418.84 ","122,525","$1,617.30 ","106,718","$1,190.99 ",
Apr-16,"258,968","$1,433.67 ","140,118","$1,642.77 ","118,850","$1,187.16 ",
May-16,"241,283","$1,420.67 ","127,921","$1,618.09 ","113,362","$1,197.89 ",
Jun-16,"231,452","$1,389.24 ","117,611","$1,566.01 ","113,841","$1,206.61 ",
Jul-16,"245,055","$1,393.22 ","124,143","$1,569.04 ","120,912","$1,212.70 ",
Aug-16,"239,232","$1,380.63 ","123,727","$1,548.61 ","115,505","$1,200.69 ",
Sep-16,"227,745","$1,377.63 ","117,220","$1,546.24 ","110,525","$1,198.79 ",
Oct-16,"226,261","$1,376.79 ","116,608","$1,544.53 ","109,653","$1,198.41 ",
Nov-16,"198,962","$1,378.92 ","101,664","$1,545.73 ","97,298","$1,204.62 ",
Dec-16,"210,323","$1,406.58 ","107,691","$1,571.20 ","102,632","$1,233.84 ",
Jan-17,"393,787","$1,472.80 ","205,718","$1,644.86 ","188,069","$1,284.59 ",
Feb-17,"243,212","$1,425.63 ","125,942","$1,597.92 ","117,270","$1,240.60 ",
Mar-17,"244,357","$1,423.15 ","126,870","$1,595.23 ","117,487","$1,237.33 ",
Apr-17,"241,454","$1,415.75 ","125,562","$1,587.66 ","115,892","$1,229.50 ",
May-17,"235,437","$1,419.53 ","121,147","$1,591.16 ","114,290","$1,237.60 ",
Jun-17,"240,982","$1,417.98 ","122,698","$1,587.58 ","118,284","$1,242.05 ",
Jul-17,"253,249","$1,431.66 ","128,789","$1,605.21 ","124,460","$1,252.07 ",
Aug-17,"243,199","$1,418.47 ","124,506","$1,592.88 ","118,693","$1,235.53 ",
Sep-17,"237,474","$1,416.71 ","121,175","$1,591.78 ","116,299","$1,234.30 ",
Oct-17,"237,325","$1,415.15 ","121,867","$1,587.00 ","115,458","$1,233.76 ",
Nov-17,"200,221","$1,413.88 ","102,257","$1,585.22 ","97,964","$1,235.04 ",
Dec-17,"213,717","$1,460.04 ","109,593","$1,632.53 ","104,124","$1,278.49 ",
Jan-18,"394,887","$1,533.93 ","207,254","$1,712.31 ","187,633","$1,336.90 ",
Feb-18,"242,823","$1,477.16 ","126,257","$1,657.24 ","116,566","$1,282.11 ",
Mar-18,"273,194","$1,475.04 ","142,049","$1,650.53 ","131,145","$1,284.96 ",
Apr-18,"252,684","$1,464.07 ","130,760","$1,639.38 ","121,924","$1,276.06 ",
May-18,"234,945","$1,466.28 ","120,307","$1,639.48 ","114,638","$1,284.52 ",
Jun-18,"247,879","$1,470.42 ","125,919","$1,647.45 ","121,960","$1,287.65 ",
Jul-18,"266,085","$1,480.12 ","135,015","$1,656.69 ","131,070","$1,298.24 ",
Aug-18,"254,511","$1,466.88 ","129,690","$1,643.21 ","124,821","$1,283.66 ",
Sep-18,"255,350","$1,456.39 ","129,710","$1,632.75 ","125,640","$1,274.32 ",
